y[,1] y[,2] sex[]
1.863233 1.767734 1
2.531654 3.005793 0
1.61254 1.612032 0
1.723472 1.744204 0
1.695414 1.841254 1
2.01572 2.300647 0
1.866706 1.857694 1
2.429383 2.457441 0
2.388561 2.397191 1
1.93443 1.985836 1
1.561882 1.818782 1
1.47501 1.397007 0
1.695414 2.050043 1
1.54115 1.542651 0
2.212318 2.165417 1
2.08971 2.020825 1
1.63464 1.617452 1
2.125571 2.808177 0
2.947137 3.213433 1
2.243968 1.946615 0
2.794026 2.599981 1
2.086103 2.599981 1
1.357828 2.449185 1
2.346196 1.691406 0
1.978259 2.220741 1
1.877735 1.772262 1
2.453433 1.656179 0
2.141701 2.559712 0
2.614029 2.534402 1
2.040775 1.366797 1
1.906484 1.468579 1
1.435789 1.002266 1
2.703611 3.265627 0
2.277629 2.193475 0
2.193475 2.483871 1
2.878173 2.449185 0
1.695414 1.504071 0
2.280226 2.467118 1
2.148664 1.723472 0
1.318006 1.338739 0
2.605111 2.698031 1
1.695414 1.723472 1
1.917628 1.93836 1
2.272027 1.352408 0
1.330429 1.22541 1
1.37383 1.877622 1
2.908953 1.703269 1
2.416619 2.195184 0
2.272026 2.488406 1
0.9502524 1.37383 0
1.942274 1.723472 1
2.530725 2.794026 0
2.454692 2.477149 0
1.590053 2.377397 0
2.296993 2.495176 1
2.185018 2.388561 0
2.534402 2.889336 1
1.989175 2.070107 0
2.041926 1.931103 1
1.879317 3.188606 0
1.528499 1.946728 0
2.846957 2.593767 1
1.104194 1.656153 0
1.212646 1.142028 1
2.122314 2.416619 1
2.243856 2.506344 0
3.447951 3.556053 1
2.349335 1.897425 1
2.103203 1.930486 0
1.604887 2.366421 1
2.462668 2.620335 0
2.059944 2.175237 0
1.058495 1.20928 0
1.905793 1.849564 1
1.289948 1.170086 0
1.918557 2.600533 1
2.416619 1.407732 0
1.723472 2.444648 0
2.377398 2.485135 1
1.898354 2.023576 0
1.483595 2.270622 1
1.435789 1.204391 0
1.905793 1.744204 0
2.964472 2.374059 1
2.611704 2.377397 0
1.877735 1.946615 1
1.946615 2.063523 0
2.86016 2.639762 1
1.513092 1.244171 0
1.751487 1.306917 1
2.020835 2.051175 1
2.569662 2.243535 1
2.270778 1.760513 1
1.877735 1.435789 1
2.977735 3.159614 1
1.245436 1.407732 0
2.649443 2.600533 1
1.590053 1.584483 1
1.435789 1.407732 1
2.041925 2.572475 1
1.618111 1.676486 0
1.682649 1.672941 1
1.212646 1.474299 1
1.838496 1.500328 1
1.936576 1.723471 1
2.745236 1.930486 0
2.338657 2.232215 0
2.454692 2.022094 0
2.606722 2.682908 0
2.558472 2.584249 1
3.221117 2.967979 1
2.291499 2.059944 0
3.335155 3.412951 1
2.349339 1.170086 1
1.47227 1.500328 0
1.877735 2.095035 1
1.576131 1.387202 0
1.723472 1.790724 1
1.967347 1.818782 0
1.330429 1.338739 0
1.971925 1.773974 1
1.695414 1.818782 1
2.041925 1.918557 1
2.524693 2.552751 0
2.031886 2.368478 1
1.877735 1.801358 0
2.206239 1.435789 1
1.820447 1.918557 1
2.890283 2.271593 0
1.212646 1.744204 1
2.35208 2.531654 0
2.049585 1.770236 0
2.045555 1.877735 1
2.274302 1.695414 0
2.165417 2.243856 1
2.36273 1.366797 0
1.746107 1.429101 1
2.637017 2.243856 1
2.505087 2.545992 0
1.560953 2.006568 1
1.322994 1.338739 1
1.818782 1.790724 1
1.007202 1.744204 0
1.407732 2.125598 1
1.366797 1.338739 0
1.725943 1.658399 0
2.550009 1.730944 1
2.544452 2.013867 1
1.338739 2.128937 0
3.004746 2.299425 0
1.58994 1.559594 0
2.977943 2.972105 1
2.754592 2.377389 1
1.980592 1.079115 0
1.64412 1.58994 0
2.195583 2.305687 0
1.890158 1.863233 1
2.402013 2.373955 0
2.386058 2.414116 1
1.068054 1.695414 1
1.838496 1.268711 1
1.989675 1.764406 1
1.193193 2.822084 0
2.131084 2.052265 1
2.066977 1.366797 1
2.782858 2.601654 1
2.707015 2.862906 0
1.835176 1.772262 0
1.590053 1.629161 0
2.639762 2.649443 0
1.900781 1.502037 0
2.243968 1.926812 0
2.701638 1.992662 1
1.907375 1.541263 1
1.33157 1.366797 0
2.786058 2.223243 1
1.790724 1.818782 1
1.51509 1.500328 0
2.846776 2.572475 1
1.756038 2.064398 0
2.499655 2.208979 0
2.020825 2.068208 1
2.215694 1.618111 0
2.011154 2.921859 1
2.521189 2.283087 1
2.158448 2.377397 1
1.22541 2.153629 1
2.416619 1.800292 0
1.723472 1.062891 1
1.366797 1.264631 0
2.388561 2.416619 0
1.476611 2.100879 0
1.458855 1.670096 0
1.723472 1.47227 0
2.568835 2.684881 1
3.07054 2.970452 0
2.559712 2.603974 0
1.877735 1.571485 0
2.572475 2.300428 0
2.02072 2.110433 1
3.070542 2.466678 1
2.754071 3.070542 0
2.128937 2.483871 1
2.782858 2.713979 0
2.42629 1.985836 0
1.277184 1.481818 1
1.61536 1.366797 1
1.64412 1.618111 1
1.985836 2.048181 0
2.691056 2.719085 1
2.559718 2.531656 1
3.135082 3.553311 0
1.905793 1.590053 0
1.618111 2.226042 1
1.711399 1.723029 0
1.70833 1.905793 1
2.713867 2.856155 0
3.358226 3.042484 1
2.243535 1.618111 0
2.34904 2.283087 1
2.21487 2.126189 1
1.283511 1.863233 1
2.937011 2.667792 1
2.186036 2.214094 1
2.559712 2.606692 0
2.231556 2.426185 0
1.992655 2.048883 1
2.467834 2.271593 1
1.884267 2.022917 0
2.535093 2.442665 1
2.126196 1.772262 0
2.602776 2.639762 1
2.377397 2.227634 0
2.275232 2.690878 0
2.255029 1.979663 0
1.957778 2.243856 1
2.337267 1.173342 0
3.067178 3.119333 0
2.377397 2.165417 1
1.866567 1.863825 0
2.061653 2.02072 1
1.881696 1.695414 0
2.095035 2.2832 0
1.212646 2.413253 1
2.426185 2.531654 1
1.454252 1.946615 1
1.863233 1.744204 0
1.863233 1.487774 0
1.125635 1.184588 0
1.813197 1.802745 1
1.848135 1.518904 1
2.559712 2.717065 1
2.388561 2.243861 1
2.100879 2.128937 1
2.336493 2.368358 1
1.366797 1.98755 0
2.667792 2.600533 1
1.877735 2.72594 1
2.08971 1.695414 0
2.272026 1.695414 1
2.899386 2.847398 0
2.048828 2.141701 0
3.091039 3.048068 0
2.742083 2.753091 1
1.784715 1.756657 0
2.184056 2.324022 0
2.149669 2.077643 1
3.252629 3.017169 0
2.65527 2.511929 1
1.896084 1.848341 0
1.435789 1.407732 1
1.27556 1.281639 0
2.047967 2.337267 0
2.908953 3.047012 1
3.070542 2.977943 0
1.002266 1.030324 0
2.912125 3.239818 1
2.29883 2.493919 0
2.059944 1.865156 0
2.902127 2.013867 1
1.178744 1.264631 0
1.120049 1.178744 1
2.338657 2.449185 1
1.818782 1.831546 0
2.648152 2.591832 1
1.879317 1.907375 0
1.618111 1.590053 1
2.964521 2.815646 1
2.947173 2.112807 1
2.041925 1.501616 0
1.950056 1.927188 0
1.338739 1.87156 1
2.086377 1.695414 1
2.367507 2.822084 0
2.868604 1.654592 0
1.877735 2.784343 1
1.435789 1.47227 1
1.606582 1.593363 1
1.561882 1.63464 0
1.512162 1.47227 0
1.030324 1.22541 1
1.654592 1.723472 1
1.841254 2.240641 0
2.826816 2.847318 1
2.44739 2.324022 1
1.468579 1.47227 0
2.865152 2.600533 1
2.341022 2.361061 1
1.800774 1.866554 0
2.511929 2.437351 0
2.947173 2.908023 1
1.366797 1.978259 0
1.957778 2.59894 1
1.58994 1.86008 0
2.067235 2.201025 1
1.684237 2.100879 0
2.36039 2.521969 0
2.154247 2.180251 1
2.937123 3.006001 1
1.590053 1.876193 1
1.879317 1.733026 0
1.435789 1.184588 0
1.925403 2.324022 0
1.971928 2.349335 1
2.322589 2.18917 0
2.571923 2.713867 1
1.801433 1.066805 0
1.790724 1.723472 1
2.109178 2.483109 1
2.512436 2.380416 0
2.180251 2.048883 1
2.303874 2.308402 0
2.262326 2.706084 1
2.100879 1.58994 0
2.426074 2.576817 0
2.559712 2.638901 1
2.495176 2.466678 1
2.600533 2.611704 1
1.695414 1.500328 1
2.101223 2.753898 1
2.169759 2.215798 0
1.556401 2.100879 0
2.498682 2.020825 1
2.531643 2.528529 0
2.349339 2.272026 1
2.975587 1.841254 0
2.337267 2.128937 0
2.353875 2.234297 0
2.2832 2.338657 1
1.818782 1.877735 1
2.492921 2.307548 0
2.011154 2.310599 1
2.130437 1.984354 0
2.299425 2.787589 1
2.228969 2.388561 1
2.531654 1.946615 1
1.813197 1.772262 0
2.784343 2.155998 1
1.956296 1.748771 0
1.184588 1.212646 0
1.51808 1.946615 1
2.324022 1.322994 0
2.349331 1.493841 0
2.328334 2.337267 1
2.391301 2.165417 1
1.936004 1.748164 0
1.481818 1.125635 0
2.752403 2.762183 0
2.377397 2.349339 0
2.37851 2.388219 0
2.126189 2.287542 1
1.503042 1.366797 0
1.145501 1.059883 1
1.797579 2.388561 1
2.146318 1.891248 0
2.489094 2.463569 1
1.695414 2.539942 1
2.342517 1.684237 0
1.992662 1.924142 1
1.607402 2.418997 1
2.165417 1.985836 1
2.446177 2.437351 0
1.867264 1.671125 0
2.023918 1.818782 0
2.483871 2.234297 1
1.492485 1.561882 1
1.440521 1.354218 0
2.145466 1.345572 0
2.498343 2.349339 0
2.431453 2.577941 0
2.65881 2.667792 0
1.713432 1.74149 1
1.37383 1.204278 0
2.769191 2.745123 1
2.180921 2.011154 1
3.032518 1.752459 0
2.760124 2.825412 0
1.22541 1.435789 0
3.293688 3.091277 1
2.35946 2.493921 1
3.853415 3.786163 1
1.695414 1.723472 0
1.253468 1.407732 0
1.439117 1.338739 0
2.79117 2.495176 1
2.234297 2.039169 0
1.713215 2.074135 0
2.429383 1.894429 1
2.110433 2.041925 1
1.762198 2.595575 0
1.578879 1.440521 0
2.059944 2.570882 0
1.500328 1.695414 0
2.572469 2.416619 0
2.493921 2.399371 1
2.324022 2.784343 1
1.880361 2.298034 0
2.048883 1.974635 1
1.807313 1.825739 0
1.97958 1.869345 1
1.615255 1.686497 1
3.005793 2.34878 1
1.43923 1.366797 0
2.067241 2.165417 0
2.287161 1.790724 0
2.154247 2.373447 0
2.190345 1.95614 1
1.723472 2.100879 0
1.795792 2.027752 1
1.879317 1.515832 0
2.327788 1.695414 1
1.457643 1.41853 1
1.407732 1.348778 0
1.684237 1.819841 1
2.08971 2.108152 0
4.076559 2.927444 1
1.946615 1.813197 1
2.255029 2.35208 0
1.790724 2.094345 0
2.200509 2.243856 0
1.58994 2.520137 0
1.695414 2.2541 1
1.590053 1.366797 0
2.227273 2.165417 0
2.127196 2.155254 1
1.142028 1.401888 0
2.834848 2.088115 0
2.964472 3.045227 1
3.188323 3.447951 1
1.212646 1.22541 1
2.637017 2.841886 0
